Id,Month,Day,Year,Site,SpeciesCode,IndividualID,Sex,Detection,Distance,FlightDirection,Behavior,BirdHeight,LocationinPlant,PlantGenus,SunorShade,NumFlowersVisited,Comments
5,5,29,2013,HC,BBLH,,M,V,13.5,NW,F1,,,,,,
6,5,29,2013,HC,BBLH,,M,V,13.5,NW,P,4,Middle,MESQUITE,Sun,,
7,5,29,2013,HC,BBLH,,M,V,13.5,NW,F1,,,,,,
20,5,28,2013,HC,BBLH,1,M,V,3,S,FN,6,Upper,CHILOPSIS,Sun,4,
21,5,28,2013,HC,BBLH,1,M,V,3,S,P,,,,,,
22,5,28,2013,HC,BBLH,1,M,V,3,S,F1,,,,,,
45,5,28,2013,HC,BBLH,1,M,V,12,E,FN,6,Upper,CHILOPSIS,Sun,4,
46,5,28,2013,HC,BBLH,1,M,V,12,E,CD,,,,,,
66,5,28,2013,HC,BBLH,,M,V,10.5,W,FO,,,,,,
80,5,27,2013,HC,BBLH,,M,V,7,N,FN,0.800000012,Top,ANISACANTHUS,Sun,8,
81,5,27,2013,HC,BBLH,,M,V,7,N,F1,,,,,,
103,5,27,2013,HC,BBLH,1,M,V,7,SE,AG,1,,,Sun,,
104,5,27,2013,HC,BBLH,1,M,V,7,SE,F1,,,,,,
105,5,27,2013,HC,BBLH,2,M,V,7,SE,CD,1,,,Sun,,
106,5,27,2013,HC,BBLH,2,M,V,7,SE,F1,,,,,,
150,5,27,2013,HC,BBLH,,M,V,25,W,FO,10,,,,,
151,5,27,2013,HC,BBLH,,M,S,7,,FO,,,,,,
153,5,27,2013,HC,BBLH,,F,V,2,E,F1,,,,,,
154,5,27,2013,HC,BBLH,,F,V,2,E,P,7,,OAK,Shade,,
155,5,27,2013,HC,BBLH,,F,V,3,E,F1,,,,,,
156,5,27,2013,HC,BBLH,,F,V,3,E,HH,,,,Sun,,
160,5,28,2013,HC,BBLH,,F,V,7,W,F1,,,,,,
161,5,28,2013,HC,BBLH,,F,V,7,W,P,,Middle,OAK,Shade,,
162,5,28,2013,HC,BBLH,,F,V,7,W,F1,,,,,,
167,5,28,2013,HC,BBLH,,F,V,,NW,AG,,,MESQUITE,,,
168,5,28,2013,HC,BBLH,,F,V,,NW,F1,,,,,,
173,5,28,2013,HC,BBLH,1,F,V,6,,F1,,,,,,
174,5,28,2013,HC,BBLH,1,F,V,6,,P,10,,SYCAMORE,Shade,,
175,5,28,2013,HC,BBLH,1,F,V,6,,F1,,,,,,
176,5,28,2013,HC,BBLH,2,F,V,25,,FO,,,,,,
177,5,28,2013,HC,BBLH,,F,V,4,W,FN,1.5,Middle,ANISACANTHUS,Shade,,
178,5,28,2013,HC,BBLH,,F,V,4,W,F1,,,,,,
179,5,28,2013,HC,BBLH,,F,V,20,E,V,,,,,,
180,5,28,2013,HC,BBLH,,F,V,20,E,F1,,,,,,
181,5,28,2013,HC,BBLH,,F,V,20,E,P,14,Top,JUNIPER,Shade,,
182,5,28,2013,HC,BBLH,,F,V,6,,V,,,,,,
